"screenshot_id","level_id","source_path","image_path","image_width","image_height","fill_source_page","fill_state_name","fill_player_grid_x","fill_player_grid_y","fill_player_direction","fill_camera_x","fill_camera_y","fill_visible_text_layout","fill_dynamic_objects","fill_related_video_timecode","fill_notes","status"
"SWORD-SHOT-001","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_001.png","1792","1120","1","贝克思贝斯之剑-洞穴教学状态01","4","11","","","","洞穴石墙包围的文字地图；上方或中部有横向叙述/提示文字，角色字位于洞穴内。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(4,11)；坐标由“我”字模板匹配测算，置信度0.64。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-002","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_002.png","1792","1120","2","贝克思贝斯之剑-洞穴教学状态02","10","16","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，中部具有可以触发的句子。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(11,9)；坐标由低置信“我”字模板补洞测算，置信度0.45。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-003","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_003.png","1792","1120","3","贝克思贝斯之剑-洞穴教学状态03","28","10","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内右侧，右侧岩石有一个通道","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(28,10)；坐标由“我”字模板匹配测算，置信度0.86。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-004","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_004.png","1792","1120","4","贝克思贝斯之剑-洞穴教学状态04","8","11","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧有史莱姆文字。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(8,11)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-005","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_005.png","1792","1120","5","贝克思贝斯之剑-洞穴教学状态05","12","8","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(18,7)；坐标由低置信“我”字模板补洞测算，置信度0.44。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-006","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_006.png","1792","1120","6","贝克思贝斯之剑-洞穴教学状态06","13","9","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(13,9)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-007","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_007.png","1792","1120","7","贝克思贝斯之剑-洞穴教学状态07","17","8","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(9,7)；坐标由低置信“我”字模板补洞测算，置信度0.45。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-008","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_008.png","1792","1120","8","贝克思贝斯之剑-洞穴教学状态08","17","9","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、墙体字、教学提示文字、可交互文字/道路。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核教学提示原文和起始位置。 玩家格子坐标=AI测算(17,9)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-009","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_009.png","1792","1120","9","贝克思贝斯之剑-黑屏竖排对白/转场09","17","9","","","","黑底画面，仅有少量竖排文字或单个角色字，“我”死亡。","对白文字、玩家/叙述字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核该图是否属于转场、死亡提示或剧情对白。 玩家格子坐标=AI测算(0,0)；坐标由“我”字模板匹配测算，置信度0.88。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-010","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_010.png","1792","1120","10","贝克思贝斯之剑-洞穴机关/剑提示状态10","16","8","","","","洞穴石墙包围的文字地图；上方或中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(12,7)；坐标由低置信“我”字模板补洞测算，置信度0.43。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-011","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_011.png","1792","1120","11","贝克思贝斯之剑-洞穴机关/剑提示状态11","16","8","","","","洞穴石墙包围的文字地图；上方或中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(16,9)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-012","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_012.png","1792","1120","12","贝克思贝斯之剑-洞穴机关/剑提示状态12","17","10","","","","洞穴石墙包围的文字地图，石墙文字减少；下方有横向叙述/提示文字，角色字位于洞穴内。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(6,15)；坐标由“我”字模板匹配测算，置信度0.69。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-013","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_013.png","1792","1120","13","贝克思贝斯之剑-洞穴机关/剑提示状态13","21","8","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(21,8)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-014","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_014.png","2285","1285","14","贝克思贝斯之剑-洞穴机关/剑提示状态14","4","8","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧史莱姆文字消失，变为“柠”字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(4,8)；坐标由低置信“我”字模板补洞测算，置信度0.42。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-015","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_015.png","1792","1120","15","贝克思贝斯之剑-洞穴机关/剑提示状态15","8","8","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(8,8)；坐标由低置信“我”字模板补洞测算，置信度0.41。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-016","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_016.png","1792","1120","16","贝克思贝斯之剑-洞穴机关/剑提示状态16","8","8","","","","洞穴石墙包围的文字地图；中部有横向触发剧情文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(8,8)；坐标由低置信“我”字模板补洞测算，置信度0.42。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-017","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_017.png","1792","1120","17","贝克思贝斯之剑-洞穴机关/剑提示状态17","14","9","","","","洞穴石墙包围的文字地图；中部有横向叙述/提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(14,9)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-018","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_018.png","1792","1120","18","贝克思贝斯之剑-黑屏竖排对白/转场18","14","9","","","","黑底画面，中部竖排文字或单个角色字，“我”谁死了场景。","对白文字、玩家/叙述字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核该图是否属于转场、死亡提示或剧情对白。 玩家格子坐标=AI测算(0,0)；坐标由“我”字模板匹配测算，置信度0.88。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-019","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_019.png","1792","1120","19","贝克思贝斯之剑-洞穴机关/剑提示状态19","22","8","","","","洞穴石墙包围的文字地图；中部有横向提示文字，角色字位于洞穴内，右侧、下侧有史莱姆文字。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(8,8)；坐标由低置信“我”字模板补洞测算，置信度0.41。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-020","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_020.png","1792","1120","20","贝克思贝斯之剑-洞穴机关/剑提示状态20","22","8","","","","洞穴石墙包围的文字地图；中部有横向叙述文字，角色字位于洞穴内。","玩家字、剑相关文字、提示条、洞穴墙体、可触发文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核剑、空、墙等关键字的触发关系。 玩家格子坐标=AI测算(22,8)；坐标由“我”字模板匹配测算，置信度0.66。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-021","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_021.png","1792","1120","21","贝克思贝斯之剑-外部遗迹/敌人区域状态21","16","4","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(14,15)；坐标由低置信“我”字模板补洞测算，置信度0.31。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-022","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_022.png","1788","1123","22","贝克思贝斯之剑-外部遗迹/敌人区域状态22","12","6","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐，上方出现障碍字阻断逃跑路线。并发射“媚眼”。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(13,13)；坐标由低置信“我”字模板补洞测算，置信度0.33。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-023","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_023.png","1792","1120","23","贝克思贝斯之剑-外部遗迹/敌人区域状态23","22","7","","","","浅色外部区域字，由石墙文字块组成，下部有提示文字。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(16,1)；坐标由“我”字模板匹配测算，置信度0.88。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-024","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_024.png","1792","1120","24","贝克思贝斯之剑-黑屏竖排对白/转场24","16","7","","","","死亡场景，中部有竖排文字，“我”被射死了场景。","对白文字、玩家/叙述字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核该图是否属于转场、死亡提示或剧情对白。 玩家格子坐标=AI测算(0,0)；坐标由“我”字模板匹配测算，置信度0.81。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-025","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_025.png","1792","1120","25","贝克思贝斯之剑-外部遗迹/敌人区域状态25","18","4","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐，上方出现障碍字阻断逃跑路线。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(16,17)；坐标由低置信“我”字模板补洞测算，置信度0.39。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-026","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_026.png","1792","1120","26","贝克思贝斯之剑-外部遗迹/敌人区域状态26","13","4","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐，上方出现障碍字阻断逃跑路线。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(18,3)；坐标由低置信“我”字模板补洞测算，置信度0.38。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-027","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_027.png","1792","1120","27","贝克思贝斯之剑-外部遗迹/敌人区域状态27","22","3","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐，上方出现障碍字阻断逃跑路线。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(27,2)；坐标由低置信“我”字模板补洞测算，置信度0.34。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
"SWORD-SHOT-028","sword","参考资料/图片参考/贝克思贝斯之剑流程.docx","harness/baselines/screenshots/images/sword/SWORD_028.png","1792","1120","28","贝克思贝斯之剑-外部遗迹/敌人区域状态28","15","4","","","","浅色外部区域字，由无动画字构成，“蛇”字构成的物体在追逐，上方出现障碍字阻断逃跑路线。","玩家字、敌人/障碍字、石墙字、竖向道路或场景说明文字。","","AI初标，待人工确认；根据截图联络表粗略识别，坐标、朝向、帧号未精确标注。 重点复核敌人、机关、通路和胜负状态。 玩家格子坐标=AI测算(13,15)；坐标由低置信“我”字模板补洞测算，置信度0.41。 朝向按要求暂不填写；镜头位置字段暂留空。","confirmed"
